Date,Category,Category Group,Amount,Year,Month
2025-02-19,FUEL/TOLL,Transportation,700.0,2025,2
2025-02-19,OTHER,Other Expenses,29.0,2025,2
2025-02-19,SHOPRITE,Supplies,279.92,2025,2
2025-02-19,WASI,Raw Materials,6807.06,2025,2
2025-02-20,ELECTRICITY,Utilities,1500.0,2025,2
2025-02-20,FUEL/TOLL,Transportation,1106.3,2025,2
2025-02-20,OTHER,Other Expenses,388.0,2025,2
2025-02-20,SHOPRITE,Supplies,69.98,2025,2
2025-02-20,SPICE AND PACK,Other Expenses,5731.95,2025,2
2025-02-21,FUEL/TOLL,Transportation,800.0,2025,2
2025-02-21,OTHER,Other Expenses,184.99,2025,2
2025-02-21,WAGES,Labor,6900.0,2025,2
2025-02-22,FUEL/TOLL,Transportation,800.0,2025,2
2025-02-23,ELECTRICITY,Utilities,1500.0,2025,2
2025-02-23,OTHER,Other Expenses,297.93,2025,2
2025-02-23,SHOPRITE,Supplies,279.92,2025,2
2025-02-23,WASI,Raw Materials,7087.48,2025,2
2025-02-24,FUEL/TOLL,Transportation,532.06,2025,2
2025-02-24,SHOPRITE,Supplies,639.88,2025,2
2025-02-24,WASI,Raw Materials,9052.47,2025,2
2025-02-25,OTHER,Other Expenses,260.0,2025,2
2025-02-25,T/BANTU SWEETS,Raw Materials,50.0,2025,2
2025-02-25,WASI,Raw Materials,7880.6,2025,2
2025-02-26,CHIPKINS,Raw Materials,10521.58,2025,2
2025-02-26,FUEL/TOLL,Transportation,800.0,2025,2
2025-02-26,HYPER SWEETS,Raw Materials,1200.0,2025,2
2025-02-26,OTHER,Other Expenses,160.0,2025,2
2025-02-26,T/BANTU SWEETS,Raw Materials,180.0,2025,2
2025-02-26,WASI,Raw Materials,163.98,2025,2
2025-02-27,CAVALIERI,Other Expenses,575.0,2025,2
2025-02-27,FUEL/TOLL,Transportation,1868.1100000000001,2025,2
2025-02-27,MAKRO,Supplies,2588.9,2025,2
2025-02-27,OTHER,Other Expenses,119.99,2025,2
2025-02-27,SHOPRITE,Supplies,359.91,2025,2
2025-02-27,SPICE AND PACK,Other Expenses,7157.54,2025,2
2025-02-27,WASI,Raw Materials,8827.49,2025,2
2025-02-28,FUEL/TOLL,Transportation,800.0,2025,2
2025-02-28,OTHER,Other Expenses,4797.69,2025,2
