Week,Year,Store,CakeType,Delivered,DeliveryAmount
7 - 13 APR 2025,2025,GROVE SPAR,CHOCOLATE,5.0,600.0
7 - 13 APR 2025,2025,GROVE SPAR,VANILLA,5.0,600.0
7 - 13 APR 2025,2025,GROVE SPAR,COFFEE,5.0,600.0
7 - 13 APR 2025,2025,GROVE SPAR,CARROT,5.0,600.0
7 - 13 APR 2025,2025,GROVE SPAR,DARKM,5.0,600.0
7 - 13 APR 2025,2025,HAZYVIEW SPAR,CHOCOLATE,10.0,1200.0
7 - 13 APR 2025,2025,HAZYVIEW SPAR,VANILLA,5.0,600.0
7 - 13 APR 2025,2025,HAZYVIEW SPAR,COFFEE,5.0,600.0
7 - 13 APR 2025,2025,HAZYVIEW SPAR,CARROT,5.0,600.0
7 - 13 APR 2025,2025,HAZYVIEW SPAR,DARKM,10.0,1200.0
14 - 20 APR 2025,2025,RIVERSIDE MALL CHECKERS,CHOCOLATE,46.0,5184.2
14 - 20 APR 2025,2025,RIVERSIDE MALL CHECKERS,VANILLA,24.0,2704.8
14 - 20 APR 2025,2025,RIVERSIDE MALL CHECKERS,CARROT,12.0,1435.1999999999998
14 - 20 APR 2025,2025,HYPER CHECKERS ORCHADS,CHOCOLATE,68.0,7663.6
14 - 20 APR 2025,2025,HYPER CHECKERS ORCHADS,VANILLA,34.0,3831.8
14 - 20 APR 2025,2025,HYPER CHECKERS ORCHADS,CARROT,34.0,4066.3999999999996
14 - 20 APR 2025,2025,WITRIVIER CHECKERS,CHOCOLATE,52.0,5860.400000000001
14 - 20 APR 2025,2025,WITRIVIER CHECKERS,VANILLA,22.0,2479.4
14 - 20 APR 2025,2025,WITRIVIER CHECKERS,CARROT,22.0,2631.2
14 - 20 APR 2025,2025,HAZYVIEW CHECKERS,CHOCOLATE,254.0,28625.8
14 - 20 APR 2025,2025,HAZYVIEW CHECKERS,VANILLA,70.0,7889.0
14 - 20 APR 2025,2025,HAZYVIEW CHECKERS,CARROT,70.0,8372.0
14 - 20 APR 2025,2025,LYDENBURG CHECKERS,CHOCOLATE,20.0,2254.0
14 - 20 APR 2025,2025,LYDENBURG CHECKERS,VANILLA,10.0,1127.0
14 - 20 APR 2025,2025,LYDENBURG CHECKERS,CARROT,10.0,1196.0
14 - 20 APR 2025,2025,MIDDELBRUG CHECKERS,CHOCOLATE,44.0,4958.8
14 - 20 APR 2025,2025,MIDDELBRUG CHECKERS,VANILLA,18.0,2028.6000000000001
