Date,Category,Category Group,Amount,Year,Month
2025-02-06,SPICE AND PACK,Other Expenses,7157.54,2025,2
2025-02-06,WASI,Raw Materials,24.99,2025,2
2025-02-06,WASI,Raw Materials,6671.62,2025,2
2025-02-07,DIESEL,Other Expenses,800.0,2025,2
2025-02-07,HEIDEL EGGS,Other Expenses,6000.0,2025,2
2025-02-08,OBARO,Other Expenses,872.7,2025,2
2025-02-08,WAGES,Labor,18755.0,2025,2
2025-02-09,ELECTRICITY,Utilities,1500.0,2025,2
2025-02-09,SHOPRITE,Supplies,314.91,2025,2
2025-02-09,WASI,Raw Materials,7082.37,2025,2
2025-02-10,DIESEL,Other Expenses,1627.15,2025,2
2025-02-10,DIESEL,Other Expenses,775.29,2025,2
2025-02-10,FAMILY STORE,Other Expenses,517.98,2025,2
2025-02-10,PNP,Other Expenses,806.19,2025,2
2025-02-10,SHOPRITE,Supplies,349.9,2025,2
2025-02-10,WASI,Raw Materials,5966.55,2025,2
2025-02-11,CAVALIERI,Other Expenses,575.0,2025,2
2025-02-11,DIESEL,Other Expenses,662.99,2025,2
2025-02-11,DIESEL,Other Expenses,1077.28,2025,2
2025-02-11,MAKRO,Supplies,549.0,2025,2
2025-02-11,SHOPRITE,Supplies,449.89,2025,2
2025-02-11,TBANTU,Other Expenses,90.0,2025,2
2025-02-11,TOLL GATE,Transportation,79.0,2025,2
2025-02-11,TOLL GATE,Transportation,79.0,2025,2
2025-02-11,WASI,Raw Materials,8105.45,2025,2
2025-02-11,XTREME MOTOR SPARES,Other Expenses,650.0,2025,2
2025-02-12,DEEP SIX PEST CONTROL,Other Expenses,1510.0,2025,2
2025-02-12,DIESEL,Other Expenses,800.0,2025,2
2025-02-12,MAGNITE SERVICE,Other Expenses,2280.61,2025,2
2025-02-13,CHIPKINS,Raw Materials,1840.0,2025,2
2025-02-13,DIESEL,Other Expenses,800.0,2025,2
2025-02-13,SHOPRITE,Supplies,756.18,2025,2
2025-02-13,SPICE AND PACK,Other Expenses,7157.54,2025,2
2025-02-13,WASI,Raw Materials,395.96,2025,2
2025-02-13,WASI,Raw Materials,7187.63,2025,2
2025-02-14,DIESEL,Other Expenses,800.0,2025,2
2025-02-14,DIESEL,Other Expenses,800.0,2025,2
2025-02-14,MAKRO,Supplies,679.8,2025,2
2025-02-14,MICA,Other Expenses,70.0,2025,2
2025-02-14,PNP,Other Expenses,828.39,2025,2
2025-02-15,DIESEL,Other Expenses,800.0,2025,2
2025-02-15,WASI,Raw Materials,8739.46,2025,2
